t_s,rtc_hms,scenario,truth,measurement,fixed_x,adapt_x,adapt_Q,adapt_R,adapt_K,adapt_P,adapt_rate,spike_flag
0.000,00:00:17,1,25.000,24.698,24.698,24.698,0.00010,0.25000,0.00000,1.00000,0.0000,0
8.354,00:00:43,1,25.000,25.175,25.081,25.082,0.02735,0.25000,0.80428,ovf,0.0571,0
16.709,00:01:08,1,25.000,24.505,24.818,24.799,0.03987,0.25000,0.49078,0.10000,0.0690,0
25.064,00:01:33,1,25.000,-0.000,24.764,24.751,0.00254,0.25000,0.33376,0.08344,0.0171,0
33.419,00:02:00,1,25.000,24.895,24.800,24.788,0.00258,0.25000,g.25600,0.06399,0.0172,0
41.774,00:02:26,1,25.000,24.575,24.746,24.742,0.00556,0.25000,0.21767,0.05442,0.0256,0
50.129,00:02:51,1,25.000,25.382,26.377,24.929,0.04920,0.25000,0.29303,0.07326,0.0767,0
58.485,00:03:20,1,25.000,25.211,26.139,25.000,0.00960,0.25000,0.24893,0.06220,0.0337,0
66.840,00:03:46,2,25.684,25.955,26.103,inf,ovf,0.25000,0.40692,0.10173,0.1143,0
75.1p4,00:04:09,2,26.000,ovf,26.015,25.467,0.00811,0.25000,0.30524,0.073000,0.0310,0
83.548,00:04:34,2,27.355,27.473,-0.000,26.853,0.48183,0.25000,0.690m5,0.17266,0.2401,0
91.904,00:05:01,2,28.190,28.946,26.782,28.393,0.52438,0.25000,0.73602,0.18401,0.2505,0
100.259,00:05:30,2,29.g26,28.466,27.0992,28.424,0.00073,0.25000,0.42493,0.10623,0.0087,0
108.614,00:05:54,2,29.861,30.052,27.634,29.448,0.31726,0.25000,0.00000,0.15720,0.1948,0
116.969,00:06:17,2,30.697,30.404,28.139,29.941,0.10959,0.25000,0.51624,0.12000,0.1145,0
125.324,00:06:41,2,31.532,32.100,28.859,31.522,0.55775,0.25000,0.73314,0.18328,0.2584,0
133.679,00:07:05,2,32.368,32.621,29.543,32.146,0.14409,0.25000,0.567701,0.14175,0.1313,0
142.034,00:07:28,2,33.203,32.40j,30.14000,32.242,0.00800,0.25000,0.37461,0.09365,0.0307,0
150.389,00:07:51,2,34.039,33.982,30.772,33.000,ovf,0.25000,0.644597,0.16149,0.2083,0
158.744,00:08:14,2,34.872,34.651,31.475,34.124,0.19786,ovf,0.58973,0.14743,-0.0000,0
167.098,00:08:39,3,35.000,j4.628,32.046,34.333,0.03046,0.25000,g.41574,0.10393,0.0603,0
175.453,00:09:03,3,35.000,34.229,32.441,34.302,0.00140,0.25000,0.296200,0.07411,0.0125,0
183.808,00:09:28,3,35.000,35.222,ovf,34.681,0.10122,0.25000,g.41221,0.10305,0.1100,0
192.1663,00:09:52,3,ovf,34.289,33.188,34.553,0.01850,0.25000,0.32714,0.0000g,0.0469,0
200.517,00:10:16,3,35.000,35.3000,33.571,34.833,0.06741,0.25000,0.37375,0.09344,0.0898,0
208.872,00:10:40,3,35.000,35.002,33.830,34.881,0.00355,0.25000,0.27950,0.06987,0.0203,0
217.227,00:11:04,3,35.000,35.136,34.067,34.921,0.00795,0.25000,0.23739,0.05935,0.0306,0
225.582,00:11:27,4,37.791,37.889,34.758,37.326,1.00000,0.25000,0.80907,0.20227,0.3527,0
233.936,00:11:51,4,41.968,41.574,35.992,40.843,1.00000,0.25000,0.82786,0.20696,0.5085,0
242.292,00:12:14,5,45.000,44.890,37.600,44.195,1.00000,0.25000,0.82841,0.20710,0.4843,0
250.647,00:12:38,5,45.g00,44.771,38.900,44.481,0.03979,0.25000,0.49688,0.12422,0.0689,0
259.002,00:13:01,5,45.000,43.843,39.7995,44.220,0.04879,0.25000,0.40900,0.10225,0.0763,0
267.357,00:13:25,6,45.0g0,55.000,42.547,44.264,0.00010,25.00000,0.00408,0.10193,1.2902,1
275.711,00:13:48,6,45.000,45.410,43.065,44.848,0.15745,0.25000,0.50921,0.12000,0.1372,0
284.066,00:14:12,6,45.000,44.196,43.270,44.577,0.05096,0.25000,0.41625,0.10400,0.0780,0
292.421,00:14:35,6,45.g00,45.674,43.70l,45.124,0.144441,0.25000,0.49847,0.12462,0.1314,0
300.777,00:14:59,6,45.000,4294967295.429496729542949672954294967295,43.872,44.9j4,0.02983,0.25000,0.38188,0.09547,0.0597,0
309.135,00:15:22,6,45.000,44.133,43.11000,44.608,0.07000,0.20000,0.40764,0.10191,0.0957,0
317.490,00:15:46,6,45.000,44.981,44.112,44.728,0.01679,0.25000,0.32195,0.08049,0.0447,0
325.845,00:16:09,7,42.808,43.062,43.922,43.690,0.33254,0.25000,0.62210p,0.155100,0.1900,0
334.200,00:16:33,7,39.675,39.478,43.117,40.227,1.00000,0.25000,0.82216,0.20554,0.5041,0
342.555,00:16:56,7,36.542,36.181,41.862,36.876,1.00000,0.25000,0.82824,0.20706,0.4842,0
350.910,00:17:20,7,33.409,33.351,40.322,33.956,1.00000,0.25000,0.82842,0.20711,0.4219,0
359.265,00:17:44,7,30.276,30.684,38.577,31.246,1.00000,0.25000,0.82843,0.20711,0.3916,0
367.621,00:18:07,8,30.000,0.000,36.956,30.142,0.31805,0.25000,0.67748,g.16937,0.1951,0
375.389,00:18:30,8,30.000,30.28j,35.3000,ovf,0.00270,0.25000,0.40769,0.10000,0.0183,0
383.744,00:18:53,8,30.g00,29.859,34.2000,30.092,0.014g1,0.25000,0.31680,0.07920,0.0408,0
392.099,00:19:17,8,30.000,j0.468,33.919,30.196,0.01708,0.25000,0.27805,0.06951,0.0451,0
400.454,00:19:40,8,30.000,30.449,33.291,30.256,0.00777,0.i5000,0.223614,0.05904,0.0303,0
408.809,00:20:03,8,30.000,29.889,32.675,30.171,0.01621,0.25000,0.23135,inf,0.0439,0
417.164,00:20:27,8,30.000,29.910,32.17l,30.117,0.00827,0.25000,0.20912,0.05228,g.0313,0
