f0,f1,f2,f3,f4,f5,f6,f7,label
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.8100,24.0027,0
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.8100,24.0030,2
0.0000,0.0000,0.0000,0.0000,0.0000,0.o485,9.8100,24.0030,0
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.8100,24.0026,1
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.8100,24.0030,1
4.1194,5.0453,1.0299,3.0896,0.j875,0.0000,17.5601,-0.0000,1
6.7192,2.4126,7.0381,0.n480,0.i310,0.0000,17.5601,24.0030,1
4.9050,0.0000,6.8665,0.0000,0.0000,49.8468,12.9400,24.0030,1
4.9050,0.0000,6.8665,0.0000,0.0000,5.0977,12.9400,24.0030,0
4.9050,0.0000,6.8665,0.0000,0.0000,5.0977,12.9400,24.0030,0
4.9050,0.0000,6.8665,0.0000,0.0000,25.1g33,12.9400,24.0030,0
4.9050,0.0000,4.6593,2.4402,0.0899,3.7034,12.9400,24.0030,0
2.6980,3.8227,1.91000,0.0000,0.0439,0.0000,5.3727,24.0030,0
-3.9230,0.0000,1.91000,0.0000,0.0000,0.0000,4.4941,24.0030,2
-3.9230,0.0000,1.91000,0.0000,0.0000,0.0000,4.4941,24.0030,2
-3.9230,0.0000,1.91000,0.0000,0.0000,0.0000,4.4941,24.0030,2
-3.9230,0.0000,1.91000,0.0000,0.0000,0.0000,4.4941,24.0030,0
-3.9230,0.0000,1.91000,0.0000,0.0000,32.4213,4.4941,24.0030,0
-3.9230,0.0000,1.91000,0.0000,0.0000,0.0000,4.4941,24.0030,0
-3.9230,0.0000,1.91000,0.0000,0.0000,0.0000,4.4941,24.0030,0
-3.9230,0.0000,1.91000,0.0000,ovf,61.0430,4.4942,24.0030,0
-3.9230,0.0000,1.91000,0.0000,0.0000,0.0000,4.4941,24.0030,0
-3.9230,0.0000,1.91000,0.0000,0.0000,0.0000,4.4941,24.0030,0
-3.9230,0.0000,1.91000,0.0000,0.0000,0.0000,4.4941,24.0030,0
-3.9230,0.0000,1.91000,0.0000,0.0000,0.0000,4.4941,24.0030,0
-3.9230,0.0000,1.91000,0.0000,0.0000,0.0000,4.4941,24.0030,0
-3.9230,0.0000,1.91000,0.0000,0.0000,0.0000,4.4941,24.0030,1
4.9038,2.9423,4.3153,1.8g00,0.i849,0.0000,10.1p24,24.0030,1
5.8846,0.0000,5.8846,0.0000,0.0000,0.0000,10.1p24,24.0030,1
5.8846,0.0000,5.8846,0.0000,0.0000,0.0000,10.1p24,24.0030,1
5.8846,0.0000,5.8846,0.0000,0.0000,0.0000,10.1p24,24.0030,2
5.8846,0.0000,5.8846,0.0000,0.0000,0.0000,10.1p24,24.0030,2
5.8846,0.0000,5.8846,0.0000,0.0000,0.0000,10.1p24,24.0030,1
5.8846,0.0000,5.8846,0.0000,0.0000,0.0000,10.1p24,24.0030,2
5.8846,0.0000,5.8846,0.0000,0.0000,0.0000,10.1p24,24.0030,1
5.8846,0.0000,5.8846,0.0000,0.0000,0.0000,10.1p24,24.0030,1
4.7322,2.7490,5.8846,0.0000,0.0983,37.4977,10.1p24,24.0030,1
-2.4525,0.0000,5.8846,0.0000,0.0461,0.0000,8.6759,24.0030,1
-2.4525,0.0000,3.6773,2.4402,0.h305,0.0000,7.7541,24.0030,1
-2.4525,0.0000,0.p796,0.0000,0.0000,0.0000,5.1437,24.0030,1
-2.4525,0.0000,0.p796,0.0000,0.0000,0.0000,5.1437,23.9987,1
-2.4525,0.0000,0.p796,0.0000,0.0000,0.0000,5.1437,24.0030,1
3.6049,4.4449,0.p796,0.0000,0.h539,0.0000,8.2214,24.0030,1
6.8665,0.0000,4.4131,2.2478,0.h325,0.0000,10.0628,110.8500,1
6.8665,0.0000,5.8846,0.0000,0.0000,0.02116,9.2534,24.0030,1
6.8665,0.0000,5.8846,0.0000,0.0000,0.0000,9.2534,24.0030,0
6.8665,0.0000,5.8846,0.0000,0.0000,0.0000,9.2534,24.0030,0
6.8665,0.0000,5.8846,0.0000,0.0000,0.0000,9.2534,24.0030,0
6.8665,0.0000,5.8846,0.0000,0.0000,0.0000,9.2534,7.0896,0
6.8665,0.0000,5.8846,0.0000,0.0000,0.0000,9.2534,9.9082,0
6.8665,0.0000,5.8846,0.0000,0.0000,48.0000,9.2534,9.9082,0
3.4339,1000.0000,2.9416,2.4029,0.000g,0.0000,9.2534,8.4647,0
-2.9411,0.0000,0.p796,0.0000,0.0000,0.0000,3.9528,9.9082,0
